job_title,salary_min,location,source,trend,last_updated,id,date_scraped
Customer Service Administrator,26000.0,"Aldershot, Hampshire",,,,5715139655.0,2026-05-01
C++ Programming in Hindi,25446.92,UK,,,,5210480024.0,2026-05-01
2nd/3rd line Support Engineer (MSP Experience Required),33000.0,"Basingstoke, Hampshire",,,,5702717230.0,2026-05-01
Head of Residential Conveyancing,55000.0,"Chester, Cheshire",,,,5711769735.0,2026-05-01
Business Services Manager,42000.0,"Barnsley, South Yorkshire",,,,5695765680.0,2026-05-01
Business Development Executive,24000.0,"Birtley, Chester Le Street",,,,5693759754.0,2026-05-01
Systems Integration Specialist,70000.0,"Oldham, Greater Manchester",,,,5707001344.0,2026-05-01
Product Owner,52000.0,"South Marston, Swindon",,,,5711388583.0,2026-05-01
IT Business Development Manager,33155.35,UK,,,,5665227290.0,2026-05-01
"IT Sales Business Development Manager - T1 MSP to Legal, PE, Financial Services",100000.0,"Central London, London",,,,5706637070.0,2026-05-01
Business Development Manager,52392.71,"Kembrey Park, Swindon",,,,5687047135.0,2026-05-01
Combat Systems Engineer,45000.0,"Portsmouth, Hampshire",,,,5706708189.0,2026-05-01
Senior Program Manager Investment Platform,121558.27,"St Lukes, Central London",,,,5692818367.0,2026-05-01
Year 5 Teacher,39000.0,UK,,,,5708485500.0,2026-05-01
Salesforce AI & Automation Associate,48804.09,"Edinburgh, Scotland",,,,5415417808.0,2026-05-01
Senior Compliance Analyst,57053.57,"East Midlands, UK",,,,5703681510.0,2026-05-01
Forklift Operative,30160.0,"Newport, Wales",,,,5707713022.0,2026-05-01
L3 Digital Lecturer,33000.0,"Leeds, West Yorkshire",,,,5705683663.0,2026-05-01
Primary Teacher,39000.0,"Wigan, Greater Manchester",,,,5705688256.0,2026-05-01
Night Shift Team Manager,42419.81,UK,,,,5715713069.0,2026-05-01
Associate Creative Director – Design & Branding,93561.65,UK,,,,5673290537.0,2026-05-01
DevOps Engineer,85000.0,"Northampton, Northamptonshire",,,,5689467080.0,2026-05-01
Hire Stock Technician,25500.0,"Bromborough, Wirral",,,,5636007256.0,2026-05-01
UNPAID VOLUNTEER - Web Designer,40841.44,"London, UK",,,,5415416481.0,2026-05-01
Business Development Manager - ICT - £130k OTE (uncapped),75000.0,"London, UK",,,,5692244283.0,2026-05-01
IT Manager,60000.0,"The City, Central London",,,,5714536354.0,2026-05-01
Software Team Lead - eDV Cleared,60000.0,"London, UK",,,,5712497482.0,2026-05-01
Head Housekeeper,29000.0,"Town Centre, Telford",,,,5702086637.0,2026-05-01
Helpdesk Technical Support Engineer,0.0,"Reading, Berkshire",,,,5702717229.0,2026-05-01
IT Lead,45000.0,"Liverpool, Merseyside",,,,5711944044.0,2026-05-01
IT Manager - Charity,41000.0,"Telford, Shropshire",,,,5705344903.0,2026-05-01
IT Manager - Charity,41000.0,"North West England, UK",,,,5705346636.0,2026-05-01
Finance Manager,50570.87,"Manchester, Greater Manchester",,,,5705258329.0,2026-05-01
Marketing,33975.48,"London, UK",,,,4500003825.0,2026-05-01
Wealth Tech Architect,143000.0,UK,,,,5715118871.0,2026-05-01
IT Software Administrator,28000.0,"Oxford, Oxfordshire",,,,5660337641.0,2026-05-01
Power Platform Consultant,45999.48,UK,,,,5633718428.0,2026-05-01
eTrading Rates Business Analyst / PM - Front Office Trading Investment Bank,69087.91,"London, UK",,,,5679573105.0,2026-05-01
IT Support Technican,22907.05,UK,,,,5689369564.0,2026-05-01
IT Development Team Leader,39500.0,"Gloucestershire, South West England",,,,5698416812.0,2026-05-02
IT Business Development Manager,45000.0,"East Midlands, UK",,,,5710232170.0,2026-05-02
IT Process Developer,40000.0,"Bristol, South West England",,,,5715740970.0,2026-05-02
IT Development Placement,26257.2,"Newcastle Upon Tyne, Tyne & Wear",,,,5441642179.0,2026-05-02
Graduate- IT Development Program Associate,45043.61,"Daventry, Northamptonshire",,,,5702453731.0,2026-05-02
Graduate- IT Development Program Associate,44604.09,"Daventry, Northamptonshire",,,,5703059452.0,2026-05-02
IT Analyst - Development & Transformation - EAL12485,30001.0,"Haddington, East Lothian",,,,5702333592.0,2026-05-02
IT Development Team Lead (Full Stack),100000.0,"Central London, London",,,,5680771938.0,2026-05-02
12 Month Internship - eFX IT Developer,37569.54,"London, UK",,,,5691608351.0,2026-05-02
Business Development Manager - IT,60000.0,"Birmingham, West Midlands",,,,5704614231.0,2026-05-02
IT Business Development Manager,50000.0,"Well End, Borehamwood",,,,5705313278.0,2026-05-02
IT Business Development Manager,40000.0,"Hyde Park, Leeds",,,,5701484117.0,2026-05-02
IT Business Development Manager,50000.0,"Borehamwood, Hertfordshire",,,,5705319399.0,2026-05-02
IT Systems Development Manager,57793.47,"Warwick, Warwickshire",,,,5680204564.0,2026-05-02
IT Business Development Manager,35000.0,"Telford, Shropshire",,,,5708720854.0,2026-05-02
IT Sales Development Representative,30831.85,"London, UK",,,,5708331708.0,2026-05-02
IT Sales - Business Development Manager,35000.0,"Abingdon, Oxfordshire",,,,5707207879.0,2026-05-02
ServiceNow Developer (IT),49838.91,"Borough, South East London",,,,5659603900.0,2026-05-02
Python Developer (IT),400.0,"Wokingham, Berkshire",,,,5659603899.0,2026-05-02
Pentaho Developer (IT),650.0,"Borough, South East London",,,,5676771322.0,2026-05-02
Software Developer (IT),50000.0,"Nottingham, Nottinghamshire",,,,5702637349.0,2026-05-02
Java Developer (IT),50557.03,"Leeds, West Yorkshire",,,,5670888397.0,2026-05-02
Java Developer (IT),60280.3,UK,,,,5491364836.0,2026-05-02
Python Developer (IT),56059.98,"Gloucester, Gloucestershire",,,,5713761655.0,2026-05-02
Spanish speaking IT Sales Development Representative,35000.0,"Manchester, Greater Manchester",,,,5665920677.0,2026-05-02
Spanish speaking IT Sales Development Representative,35000.0,"Rusholme, Manchester",,,,5693756963.0,2026-05-02
IT and Software Development Manager,45000.0,"Woodgate, Birmingham",,,,5691959444.0,2026-05-02
Senior Software Developer (IT),60000.0,UK,,,,5709193940.0,2026-05-02
Rapid Application Developer – IT Quant,98936.41,"London, UK",,,,4802565458.0,2026-05-02
Senior Full Stack Developer (IT),55000.0,"Hernstone, Bridgend",,,,5671816422.0,2026-05-02
IT - Junior Python Developer - London,62974.35,"London, UK",,,,5624076248.0,2026-05-02
D365 F&O Developer (IT),475.0,UK,,,,5683147646.0,2026-05-02
Ruby on Rails UI Developer (IT),68870.56,"Mayhill, Swansea",,,,5712653830.0,2026-05-02
Junior Full Stack Developer (IT),40000.0,"Stantonbury, Milton Keynes",,,,5714715280.0,2026-05-02
React / React Native Developer (IT),56128.56,UK,,,,5709269573.0,2026-05-02
"Head of Development, EMEA IT, IT - CITIC CLSA",112787.71,"London, UK",,,,5631887653.0,2026-05-02
Business Development Manager - IT,40000.0,"Rusholme, Manchester",,,,5692113891.0,2026-05-02
Business Development Manager - IT,40000.0,"Farringdon, Central London",,,,5692113754.0,2026-05-02
Business Development Manager - IT,40000.0,"Balsall Heath, Birmingham",,,,5692113890.0,2026-05-02
Business Development Representative (IT),30000.0,UK,,,,5676771325.0,2026-05-02
Business Development Representative (IT),30000.0,UK,,,,5685261618.0,2026-05-02
Business Development Director (IT),64859.39,"Scotland, UK",,,,5400366550.0,2026-05-02
Sales Development Representative - IT Industry,42307.78,UK,,,,5661711453.0,2026-05-02
"Field New Sales Development Manager - Tech, IT, Telecoms MSP",85000.0,"Bournemouth, Dorset",,,,5716515100.0,2026-05-02
"Field New Sales Development Manager - Tech, IT, Telecoms MSP",85000.0,"Reading, Berkshire",,,,5716515088.0,2026-05-02
"Field New Sales Development Manager - Tech, IT, Telecoms MSP",85000.0,"Horsham, West Sussex",,,,5713957132.0,2026-05-02
Business Development Manager – IT Sector,30000.0,"Glasgow, Scotland",,,,5695524726.0,2026-05-02
Business Development Manager – IT Sector,30000.0,"Bristol, South West England",,,,5701288259.0,2026-05-02
Business Development Manager – IT Sector,30000.0,"Englefield, Reading",,,,5701356079.0,2026-05-02
Business Development Manager – IT Sector,30000.0,"Humberstone, Leicester",,,,5698215095.0,2026-05-02
Business Development Manager – IT & Cybersecurity,30000.0,"Belfast, Northern Ireland",,,,5706192669.0,2026-05-02
Business Development Manager - IT or Telecom,35000.0,"Belfast, Northern Ireland",,,,5694598269.0,2026-05-02
Business Development Manager- IT Services,60000.0,"London, UK",,,,5119758731.0,2026-05-02
Business Development Director - IT Services,66150.37,"London, UK",,,,5119759909.0,2026-05-02
Business Development Director - IT Services,63213.11,"Bristol, South West England",,,,5119759630.0,2026-05-02
Senior Software Developer - Salesforce (IT),71248.92,UK,,,,5677128051.0,2026-05-02
"Field New Sales Development Manager - Tech, IT, Telecoms MSP",85000.0,"Tarring, Worthing",,,,5713958880.0,2026-05-02
