"image href","image src","job_link","job_link href","company-name","salary","location","time","time 2","time 3","time 4","welfare","welfare 2","welfare 3","apply-button href"
"https://careerviet.vn/vi/nha-tuyen-dung/mars-group.35A51FB9.html","https://careerviet.vn/_next/image?url=https%3A%2F%2Fimages.careerviet.vn%2Femployers%2F14009%2F115957mars.jpg&w=256&q=75","IT System","https://careerviet.vn/vi/tim-viec-lam/it-system.35C71E06.html","Mars Group","Lương: 12 Tr - 16 Tr VND","Hồ Chí Minh","Hạn nộp:","06-06-2026","Cập nhật:","03-05-2026","Chế độ bảo hiểm","Du Lịch","Chế độ thưởng","https://careerviet.vn/vi/jobseekers/jobs/apply?job_id=35C71E06"
"https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-kinh-doanh-f88.35A89F54.html","https://careerviet.vn/_next/image?url=https%3A%2F%2Fimages.careerviet.vn%2Femployer_folders%2Flot4%2F243284%2F183622logo_f88_tai_chinh_binh_dan-02.png&w=256&q=75","Trưởng phòng Kinh doanh số","https://careerviet.vn/vi/tim-viec-lam/truong-phong-kinh-doanh-so.35C6EA3D.html","CÔNG TY CỔ PHẦN KINH DOANH F88","Lương: Cạnh tranh","Hồ Chí Minh","Hạn nộp:","26-05-2026","Cập nhật:","03-05-2026","Laptop","Chế độ bảo hiểm","Du Lịch","https://careerviet.vn/vi/jobseekers/jobs/apply?job_id=35C6EA3D"
"https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-cong-nghe-citek.35A8C8BE.html","https://careerviet.vn/_next/image?url=https%3A%2F%2Fimages.careerviet.vn%2Femployer_folders%2Flot6%2F253886%2F163706logo-2x.png&w=256&q=75","Senior Talent Acquisition Specialist","https://careerviet.vn/vi/tim-viec-lam/senior-talent-acquisition-specialist.35C70D3D.html","CÔNG TY CỔ PHẦN CÔNG NGHỆ CITEK","Lương: Cạnh tranh","Hồ Chí Minh","Cơ hội ứng tuyển chỉ còn:","5","Cập nhật:","03-05-2026","Laptop","Chế độ bảo hiểm","Du Lịch","https://careerviet.vn/vi/jobseekers/jobs/apply?job_id=35C70D3D"
"https://careerviet.vn/vi/nha-tuyen-dung/indovina-bank-ltd.35A4FC93.html","https://careerviet.vn/_next/image?url=https%3A%2F%2Fimages.careerviet.vn%2Femployer_folders%2Flot1%2F5011%2F81333ivb_logostandar_indovinabank_englishcopy-01.jpg&w=256&q=75","Head of Database Administration Section (Trưởng Bộ Phận)","https://careerviet.vn/vi/tim-viec-lam/head-of-database-administration-section-truong-bo-phan.35C6E4EC.html","Indovina Bank Ltd.","Lương: 1.200 - 1.600 USD","Hồ Chí Minh","Hạn nộp:","24-05-2026","Cập nhật:","03-05-2026","Chế độ bảo hiểm","Du Lịch","Phụ cấp","https://careerviet.vn/vi/jobseekers/jobs/apply?job_id=35C6E4EC"
"https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-tnhh-galaxy-digital-holdings.35A9FEAA.html","https://careerviet.vn/_next/image?url=https%3A%2F%2Fimages.careerviet.vn%2Femployer_folders%2Flot6%2F333226%2F1605141-1_gdh_logo_rgb-01.png&w=256&q=75","Compliance Specialist","https://careerviet.vn/vi/tim-viec-lam/compliance-specialist.35C7307D.html","CÔNG TY TNHH GALAXY DIGITAL HOLDINGS","Lương: Cạnh tranh","Hồ Chí Minh","Hạn nộp:","23-05-2026","Cập nhật:","30-04-2026","Laptop","Chế độ bảo hiểm","Phụ cấp","https://careerviet.vn/vi/jobseekers/jobs/apply?job_id=35C7307D"
"https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-giai-phap-doanh-nghiep-toan-cau.35A71F1A.html","https://careerviet.vn/_next/image?url=https%3A%2F%2Fimages.careerviet.vn%2Femployer_folders%2Flot2%2F144922%2Flogo.jpg&w=256&q=75","Chuyên Viên/ Leader Tư Vấn Triển Khai Phần Mềm ERP","https://careerviet.vn/vi/tim-viec-lam/chuyen-vien-leader-tu-van-trien-khai-phan-mem-erp.35C72F9C.html","CÔNG TY CỔ PHẦN GIẢI PHÁP DOANH NGHIỆP TOÀN CẦU","Lương: Cạnh tranh","Hồ Chí Minh","Hạn nộp:","22-05-2026","Cập nhật:","30-04-2026","Chế độ bảo hiểm","Du Lịch","Chế độ thưởng","https://careerviet.vn/vi/jobseekers/jobs/apply?job_id=35C72F9C"
"https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-tnhh-tin-bao-lan.35A89D6A.html","https://careerviet.vn/_next/image?url=https%3A%2F%2Fimages.careerviet.vn%2Femployer_folders%2Flot4%2F242794%2F16411643022-100x100.jpg&w=256&q=75","PMO Kỹ Thuật (Kiêm Presales/BOM/Giải Pháp & Kinh Nghiệm Triển Khai Data Center/Network)","https://careerviet.vn/vi/tim-viec-lam/pmo-ky-thuat-kiem-presales-bom-giai-phap-kinh-nghiem-trien-khai-data-center-network.35C72D2A.html","Công Ty TNHH Tín Bảo Lan","Lương: Cạnh tranh","Hồ Chí Minh","Hạn nộp:","22-06-2026","Cập nhật:","30-04-2026","Chế độ bảo hiểm","Du Lịch","Phụ cấp","https://careerviet.vn/vi/jobseekers/jobs/apply?job_id=35C72D2A"
"https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-tnhh-tin-bao-lan.35A89D6A.html","https://careerviet.vn/_next/image?url=https%3A%2F%2Fimages.careerviet.vn%2Femployer_folders%2Flot4%2F242794%2F16411643022-100x100.jpg&w=256&q=75","After-Service Technical Consultant Manager","https://careerviet.vn/vi/tim-viec-lam/after-service-technical-consultant-manager.35C72D1B.html","Công Ty TNHH Tín Bảo Lan","Lương: Cạnh tranh","Hồ Chí Minh","Hạn nộp:","22-06-2026","Cập nhật:","30-04-2026","Chế độ bảo hiểm","Du Lịch","Phụ cấp","https://careerviet.vn/vi/jobseekers/jobs/apply?job_id=35C72D1B"
"https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-tnhh-skylab-innogram-viet-nam.35A9DA1E.html","https://careerviet.vn/_next/image?url=https%3A%2F%2Fimages.careerviet.vn%2Femployer_folders%2Flot0%2F323870%2F95344skylab-box.png&w=256&q=75","Software Engineer","https://careerviet.vn/vi/tim-viec-lam/software-engineer.35C73A49.html","CÔNG TY TNHH SKYLAB INNOGRAM VIỆT NAM","Lương: Cạnh tranh","Hồ Chí Minh","Hạn nộp:","29-05-2026","Cập nhật:","29-04-2026","Laptop","Chế độ bảo hiểm","Du Lịch","https://careerviet.vn/vi/jobseekers/jobs/apply?job_id=35C73A49"
"https://careerviet.vn/vi/nha-tuyen-dung/cong-ty-co-phan-mu-xanh-blue-hat.35A8503F.html","https://careerviet.vn/_next/image?url=https%3A%2F%2Fimages.careerviet.vn%2Femployer_folders%2Flot9%2F223039%2F1719421-logo-jpeg.jpg&w=256&q=75","Trưởng Phòng Kỹ Thuật (Công Nghệ Thông Tin)","https://careerviet.vn/vi/tim-viec-lam/truong-phong-ky-thuat-cong-nghe-thong-tin.35C72C18.html","CÔNG TY CỔ PHẦN MŨ XANH - BLUE HAT","Lương: Cạnh tranh","Hồ Chí Minh","Hạn nộp:","21-05-2026","Cập nhật:","29-04-2026","Laptop","Chế độ bảo hiểm","Du Lịch","https://careerviet.vn/vi/jobseekers/jobs/apply?job_id=35C72C18"
