job_title,company,salary,location,experience,skills,raw_date
Graduate Engineer,Noriker Power Ltd,28500-30000,"Cheltenham Trade Park, Cheltenham (GB)",0-1 year,"Git, Programming, Problem Solving, SQL",2026-08-21
Solution Architect,Amentum,38826-38826,"Bristol, South West England (GB)",5+ years,IT General Skills,2026-08-21
Solution Architect,Amentum,38366-38366,"Birchwood, Chard (GB)",5+ years,IT General Skills,2026-08-21
Solution Architect,Amentum,37583-37583,"Risley, Warrington (GB)",5+ years,IT General Skills,2026-08-21
Solution Architect,Amentum,40062-40062,UK (GB),5+ years,IT General Skills,2026-08-21
Solution Architect,Amentum,36938-36938,"Cardiff, Cardiff County (GB)",5+ years,IT General Skills,2026-08-21
Scrum Master,Red Arch Solutions,159126-159126,"Reston, Fairfax County (US)",1-3 years,"Scrum, Agile, JIRA, Facilitation, Kanban",2026-08-21
Discovery Paralegal with Security Clearance,Evolver,100016-100016,"Rosslyn, Arlington County (US)",1-3 years,"Penetration Testing, SIEM, Firewall, Linux, SOC",2026-08-21
Video Services Installation Technician,Evolver Federal,66560-76960,"Fort Belvoir, Fairfax County (US)",1-3 years,IT General Skills,2026-08-21
Project Manager (Identity Protection sphere) (Minneapolis),Coherent Solutions,900-1300,"Minneapolis, Hennepin County (US)",5+ years,"Agile, Scrum, JIRA, MS Project, Risk Management",2026-08-21
Video Services Installation Technician,Evolver,81575-81575,"Fort Belvoir, Fairfax County (US)",1-3 years,IT General Skills,2026-08-21
Engineering Technical Account Manager (Cloud),Bank of Montreal,112200-209000,US (US),5+ years,"AWS, GCP hoặc Azure, Terraform, Docker, Linux",2026-08-21
"VP, Emerging Technologies",APG Federal Credit Union,128600-231400,"Edgewood, Harford County (US)",1-3 years,IT General Skills,2026-08-21
Video Services Installation Technician with Security Clearance,Evolver,81783-81783,"Fort Belvoir, Fairfax County (US)",1-3 years,"Penetration Testing, SIEM, Firewall, Linux, SOC",2026-08-21
Business Intelligence Developer,Johns Hopkins Medicine,124590-124590,"Hanover, Anne Arundel County (US)",1-3 years,"Git, Programming, Problem Solving, SQL",2026-08-21
Software Engineer,MANTECH,170556-170556,"Fort Meade, Meade County (US)",1-3 years,"Git, Programming, Problem Solving, SQL",2026-08-21
"Specialist, Artificial Intelligence & Advanced Analytics",L3Harris,87981-87981,"West Melbourne, Brevard County (US)",1-3 years,IT General Skills,2026-08-21
IT PMO Project Manager – Software Development,General Dynamics Electric Boat,157819-157819,"Groton, New London County (US)",5+ years,"Agile, Scrum, JIRA, MS Project, Risk Management",2026-08-21
General Paralegal,Evolver Federal,80000-85000,"Washington, D.C., US (US)",1-3 years,IT General Skills,2026-08-21
General Paralegal with Security Clearance,Evolver,78077-78077,"Rosslyn, Arlington County (US)",1-3 years,"Penetration Testing, SIEM, Firewall, Linux, SOC",2026-08-21
Counterintelligence Officer,ManTech,98895-98895,"North Springfield, Fairfax County (US)",1-3 years,IT General Skills,2026-08-21
CSV Engineer,Alliance Biotech Solutions,163888-163888,"Raleigh, Wake County (US)",1-3 years,"Git, Programming, Problem Solving, SQL",2026-08-21
"Director, Business Development and Capture Management - Army IT",NANA Regional Corporation,215782-215782,"Herndon, Fairfax County (US)",5+ years,"Leadership, Project Management, Communication",2026-08-21
"Director, Business Development and Capture Management - Army IT with Security Clearance",Akima,232392-232392,"Herndon, Fairfax County (US)",5+ years,"Penetration Testing, SIEM, Firewall, Linux, SOC",2026-08-21
Resource Fulfillment Lead,Evolver Federal,75000-95000,"Crystal, Arlington County (US)",3-5 years,"Leadership, Project Management, Communication",2026-08-21
Video Production Specialist,Evolver Federal,70720-76960,"Fort Belvoir, Fairfax County (US)",1-3 years,"Agile, Backlog, User Story, JIRA, Product Roadmap",2026-08-21
Strategic Accounts Sales Support Specialist,National Oak Brand,68621-68621,"Gibsonia, Polk County (US)",1-3 years,"Windows, Networking, Hardware, Troubleshooting",2026-08-21
CTO,The Hiring Method,250000-400000,US (US),1-3 years,IT General Skills,2026-08-21
Video Production Specialist,Evolver,59834-59834,"Fort Belvoir, Fairfax County (US)",1-3 years,"Agile, Backlog, User Story, JIRA, Product Roadmap",2026-08-21
Video Production Specialist with Security Clearance,Evolver,59466-59466,"Fort Belvoir, Fairfax County (US)",1-3 years,"Penetration Testing, SIEM, Firewall, Linux, SOC",2026-08-21
Microsoft Teams Engineer Senior,USAA,157892-157892,"Colorado Springs, El Paso County (US)",3-5 years,"Git, Programming, Problem Solving, SQL",2026-08-21
Project Manager,Detroit Defense,100000-110000,"Troy, Oakland County (US)",5+ years,"Agile, Scrum, JIRA, MS Project, Risk Management",2026-08-21
Business Systems IT Specialist – Manufacturing,Greenworks,56145-56145,"Morristown, Hamblen County (US)",1-3 years,IT General Skills,2026-08-21
Resource Fulfillment Lead with Security Clearance,Evolver,80688-80688,"Rosslyn, Arlington County (US)",3-5 years,"Penetration Testing, SIEM, Firewall, Linux, SOC",2026-08-21
Resource Fulfillment Lead,Evolver,96335-96335,"Mount Rainier, Prince George's County (US)",3-5 years,"Leadership, Project Management, Communication",2026-08-21
Business Intelligence Developer - Epic,Johns Hopkins Medicine,137414-137414,"East Case, Baltimore (US)",1-3 years,"Git, Programming, Problem Solving, SQL",2026-08-21
Chief Technology Officer (Honolulu),Evergy,300-350,"Wake Island, Honolulu (US)",1-3 years,IT General Skills,2026-08-21
DevOps Engineer (RPA sphere) (Minneapolis),Coherent Solutions,214362-267952,"Minneapolis, Hennepin County (US)",1-3 years,"Docker, Kubernetes, CI/CD, Linux, AWS hoặc GCP",2026-08-21
Project Manager - Real Time Operations Center (RTOC),Weatherford,114607-114607,"Houston, Harris County (US)",5+ years,"Agile, Scrum, JIRA, MS Project, Risk Management",2026-08-21
Electronic Security Technician (Level III),Evolver ESS,86021-86021,US (US),1-3 years,"Penetration Testing, SIEM, Firewall, Linux, SOC",2026-08-21
Executive IT Technician: VIP Support Specialist,Evolver Federal,70000-85000,"Crystal, Arlington County (US)",1-3 years,"Windows, Networking, Hardware, Troubleshooting",2026-08-21
Executive IT Technician: VIP Support Specialist,Evolver,97334-97334,"Mount Rainier, Prince George's County (US)",1-3 years,"Windows, Networking, Hardware, Troubleshooting",2026-08-21
Executive IT Technician: VIP Support Specialist with Security Clearance,Evolver,100772-100772,"Mount Rainier, Prince George's County (US)",1-3 years,"Penetration Testing, SIEM, Firewall, Linux, SOC",2026-08-21
Veritas eDiscovery Platform (eDP) Engineer,Evolver Federal,120000-130000,"Rosslyn, Arlington County (US)",1-3 years,"Git, Programming, Problem Solving, SQL",2026-08-21
Veritas eDiscovery Platform (eDP) Engineer,Evolver,155248-155248,"Mount Rainier, Prince George's County (US)",1-3 years,"Git, Programming, Problem Solving, SQL",2026-08-21
Veritas eDiscovery Platform (eDP) Engineer with Security Clearance,Evolver,125934-125934,"Rosslyn, Arlington County (US)",1-3 years,"Penetration Testing, SIEM, Firewall, Linux, SOC",2026-08-21
DC3 Program Manager – VDP/DCISE/OED with Security Clearance,Evolver,116268-116268,"Linthicum Heights, Anne Arundel County (US)",5+ years,"Penetration Testing, SIEM, Firewall, Linux, SOC",2026-08-21
DC3 CIO Services Task Lead with Security Clearance,Evolver,142002-142002,"Linthicum Heights, Anne Arundel County (US)",3-5 years,"Penetration Testing, SIEM, Firewall, Linux, SOC",2026-08-21
DC3 CIO Task Lead with Security Clearance,Evolver,138267-138267,"Linthicum Heights, Anne Arundel County (US)",3-5 years,"Penetration Testing, SIEM, Firewall, Linux, SOC",2026-08-21
DC3 Technical Lead - DCISE with Security Clearance,Evolver,145442-145442,"Linthicum Heights, Anne Arundel County (US)",3-5 years,"Penetration Testing, SIEM, Firewall, Linux, SOC",2026-08-21
DC3 Program Manager with Security Clearance,Evolver,127561-127561,"Linthicum Heights, Anne Arundel County (US)",5+ years,"Penetration Testing, SIEM, Firewall, Linux, SOC",2026-08-21
DC3 Technical Lead – OED with Security Clearance,Evolver,113154-113154,"Linthicum Heights, Anne Arundel County (US)",3-5 years,"Penetration Testing, SIEM, Firewall, Linux, SOC",2026-08-21
DC3 Data Task Lead with Security Clearance,Evolver,79751-79751,"Linthicum Heights, Anne Arundel County (US)",3-5 years,"Penetration Testing, SIEM, Firewall, Linux, SOC",2026-08-21
DC3 Technical Lead - DCISE,Evolver Federal,150000-225000,"Linthicum Heights, Anne Arundel County (US)",3-5 years,"Leadership, Project Management, Communication",2026-08-21
DC3 Data Task Lead,Evolver Federal,150000-225000,"Linthicum Heights, Anne Arundel County (US)",3-5 years,"Leadership, Project Management, Communication",2026-08-21
DC3 Program Manager,Evolver Federal,150000-225000,"Linthicum Heights, Anne Arundel County (US)",5+ years,"Leadership, Project Management, Communication",2026-08-21
DC3 Program Manager – VDP/DCISE/OED,Evolver Federal,150000-225000,"Linthicum Heights, Anne Arundel County (US)",5+ years,"Leadership, Project Management, Communication",2026-08-21
DC3 Technical Lead – OED,Evolver Federal,150000-225000,"Linthicum Heights, Anne Arundel County (US)",3-5 years,"Leadership, Project Management, Communication",2026-08-21
DC3 CIO Services Task Lead,Evolver Federal,150000-225000,"Linthicum Heights, Anne Arundel County (US)",3-5 years,"Leadership, Project Management, Communication",2026-08-21
DC3 CIO Task Lead,Evolver Federal,150000-225000,"Linthicum Heights, Anne Arundel County (US)",3-5 years,"Leadership, Project Management, Communication",2026-08-21
DC3 CIO Task Lead,Evolver,146851-146851,"Linthicum Heights, Anne Arundel County (US)",3-5 years,"Leadership, Project Management, Communication",2026-08-21
DC3 Program Manager,Evolver,138219-138219,"Linthicum Heights, Anne Arundel County (US)",5+ years,"Leadership, Project Management, Communication",2026-08-21
DC3 Program Manager u2013 VDP/DCISE/OED,Evolver,125963-125963,"Linthicum Heights, Anne Arundel County (US)",5+ years,"Leadership, Project Management, Communication",2026-08-21
DC3 Technical Lead u2013 OED,Evolver,116707-116707,"Linthicum Heights, Anne Arundel County (US)",3-5 years,"Leadership, Project Management, Communication",2026-08-21
DC3 Data Task Lead,Evolver,84144-84144,"Linthicum Heights, Anne Arundel County (US)",3-5 years,"Leadership, Project Management, Communication",2026-08-21
DC3 Technical Lead - DCISE,Evolver,150051-150051,"Linthicum Heights, Anne Arundel County (US)",3-5 years,"Leadership, Project Management, Communication",2026-08-21
DC3 CIO Services Task Lead,Evolver,149720-149720,"Linthicum Heights, Anne Arundel County (US)",3-5 years,"Leadership, Project Management, Communication",2026-08-21
Mainframe CICS Systems Programmer Senior,USAA,162897-162897,"Charlotte, Mecklenburg County (US)",3-5 years,"Git, Programming, Problem Solving, SQL",2026-08-21
Mainframe CICS Systems Programmer Senior,USAA,158180-158180,"Phoenix, Maricopa County (US)",3-5 years,"Git, Programming, Problem Solving, SQL",2026-08-21
Senior Security Systems Integrator & Installer,Evolver ESS,65167-65167,US (US),3-5 years,"Penetration Testing, SIEM, Firewall, Linux, SOC",2026-08-21
Scrum Master with Security Clearance,Red Arch Solutions,147669-147669,"Reston, Fairfax County (US)",1-3 years,"Penetration Testing, SIEM, Firewall, Linux, SOC",2026-08-21
Software Engineer with Security Clearance,MANTECH,144212-144212,"Fort George G Meade, Anne Arundel County (US)",1-3 years,"Penetration Testing, SIEM, Firewall, Linux, SOC",2026-08-21
Task Manager / Lead Analyst with Security Clearance,INTECON LLC,133141-133141,"Scott Air Force Base, Saint Clair County (US)",3-5 years,"Penetration Testing, SIEM, Firewall, Linux, SOC",2026-08-21
Training Developer / Instructor with Security Clearance,INTECON LLC,78596-78596,"Scott Air Force Base, Saint Clair County (US)",1-3 years,"Penetration Testing, SIEM, Firewall, Linux, SOC",2026-08-21
Project Control Analyst,Evolver Corporate,115000-130000,"Reston, Fairfax County (US)",1-3 years,"SQL, Excel, Data Analysis, Reporting",2026-08-21
Engineering Technical Account Manager (Cloud),BMO Financial Group,124609-124609,US (US),5+ years,"AWS, GCP hoặc Azure, Terraform, Docker, Linux",2026-08-21
NLM Security Specialist I - III,"Lexical Intelligence, LLC",90000-135000,"Bethesda, Montgomery County (US)",1-3 years,"Penetration Testing, SIEM, Firewall, Linux, SOC",2026-08-21
"Director, Enrollment Analytics, Planning and AI (Vice Provost for Admissions & Financial Aid) - Staff",Johns Hopkins University,140084-140084,"Druid, Baltimore (US)",3-5 years,"Leadership, Project Management, Communication",2026-08-21
IT Intern - Data Engineer - Meridian or Chubbuck,ICCU,55392-55392,"Meridian, Ada County (US)",0-1 year,"Python, SQL, Spark, Airflow, ETL",2026-08-21
Director - Capture Management - TSPG,NANA Regional Corporation,212133-212133,"Herndon, Fairfax County (US)",5+ years,"Leadership, Project Management, Communication",2026-08-21
Legal Counsel,INFOWIZ PTE LTD,1080-1800,Singapore (SG),1-3 years,IT General Skills,2026-08-21
Lead Generation Specialist,ScaleupAlly,Negotiable,"Noida, Ghaziabad (IN)",3-5 years,"Leadership, Project Management, Communication",2026-08-21
IT Sales Executive,Durapid Technologies Pvt Ltd,200000-300000,"Jaipur, Rajasthan (IN)",1-3 years,IT General Skills,2026-08-21
EntryLevel IT Summer Intern Data Analytics Software Development and,remote zest jobs,Negotiable,India (IN),0-1 year,IT General Skills,2026-08-21
IT Business Development Executive,Ekshvaku Tech Innovations,Negotiable,"Hyderabad, Telangana (IN)",1-3 years,IT General Skills,2026-08-21
Join Our Talent Pool - Future Remote Opportunities,CrewBloom,Negotiable,India (IN),1-3 years,IT General Skills,2026-08-21
Senior Software Engineer,FAI,Negotiable,India (IN),3-5 years,"Git, Programming, Problem Solving, SQL",2026-08-21
Staff Platform Engineer,FAI,Negotiable,India (IN),3-5 years,"Git, Programming, Problem Solving, SQL",2026-08-21
IT Sales- Services and Staffing,Durapid Technologies Pvt Ltd,1200000-1500000,India (IN),3-5 years,IT General Skills,2026-08-21
Senior Software Engineer,FAI,Negotiable,India (IN),3-5 years,"Git, Programming, Problem Solving, SQL",2026-08-21
