"CompactOpportunityCardsc__JobCardTitleNoStyleAnchor-sc-dkg8my-12","CompactOpportunityCardsc__JobCardTitleNoStyleAnchor-sc-dkg8my-12 href","CompactOpportunityCardsc__SalaryWrapper-sc-dkg8my-32","TagStyle__TagContentWrapper-sc-r1wv7a-1","TagStyle__TagContentWrapper-sc-r1wv7a-1 2","TagStyle__TagContentWrapper-sc-r1wv7a-1 3","TagStyle__TagContentWrapper-sc-r1wv7a-1 4","TagStyle__TagContentWrapper-sc-r1wv7a-1 5","ThumborImagesc__CustomImage-sc-1uzwahj-0 src","CompactOpportunityCardsc__CompanyLink-sc-dkg8my-14","CompactOpportunityCardsc__CompanyLink-sc-dkg8my-14 href","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 2","CompactOpportunityCardsc__JobCardLocationNoStyleAnchor-sc-dkg8my-13 href 2","TypographyStyles__StyledTypography-sc-ro16eu-0","CompactOpportunityCardsc__NotDisclosedMessage-sc-dkg8my-28"
"Customer Service - IT field (TOPIK 5-6 Korean - Open to Fresher)","https://glints.com/vn/opportunities/jobs/customer-service-it-field-topik-5-6-korean-open-to-fresher/f3e9861d-b9d2-4034-b4ff-c7fbc23647b1?utm_referrer=explore&traceInfo=01d5b46b-2072-4b99-8d25-2eaab185196e","₫ 1-30 Tr","Việc làm fulltime","1 – 3 năm","Tối thiểu Cử Nhân","Problem Solving","+6","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/de7b016553ec540101984a53cc634c63.png","iTechWX","https://glints.com/vn/companies/itechwx/d79394e2-1479-47c8-9d2d-5b4b98c1e0f7","Quận Bình Thạnh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-binh-thanh","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","6 ngày trước",""
"Biên phiên dịch IT - Tiếng Nhật N2 - Thủ Đức","https://glints.com/vn/opportunities/jobs/bien-phien-dich-it-tieng-nhat-n2-thu-duc/2758b35b-805c-47a9-b0ac-453c91bbfbfe?utm_referrer=explore&traceInfo=01d5b46b-2072-4b99-8d25-2eaab185196e","₫ 15-18 Tr","Việc làm fulltime","1 – 3 năm","Tối thiểu Cao Đẳng","IT Support","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/a24738a0100c240aedbe960eefd4c4ed.png","CÔNG TY CP KẾT NỐI NHÂN LỰC WORKLINK VIỆT NAM","https://glints.com/vn/companies/cong-ty-cp-ket-noi-nhan-luc-worklink-viet-nam/1802aeef-2140-4b85-8ba3-924c0fa356dd","Quận Thủ Đức","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-thu-duc","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","11 ngày trước",""
"ACCOUNT MANAGER (B2B/IT-TELECOM SOLUTIONS)","https://glints.com/vn/opportunities/jobs/account-manager-b2b-it-telecom-solutions/e1506480-9e66-4599-ae21-69364603c1ca?utm_referrer=explore&traceInfo=01d5b46b-2072-4b99-8d25-2eaab185196e","","Việc làm fulltime","1 – 3 năm","Tối thiểu Cao Đẳng","B2B Sales","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/18612f67117955646f4cec60ba94feb4.png","FPT Telecom International","https://glints.com/vn/companies/fpt-telecom-international/20a1ceb0-3c60-4d24-8cce-c9a9091a545a","Quận Cầu Giấy","https://glints.com/vn/job-location/vietnam/ha-noi/quan-cau-giay","Hà Nội","https://glints.com/vn/job-location/vietnam/ha-noi","1 tháng trước","Không công khai"
"Bussiness Development (Sale IT EN/KR/JP)","https://glints.com/vn/opportunities/jobs/bussiness-development-sale-it-en-kr-jp/1347e8e2-665e-4ec9-b633-108792db3f6f?utm_referrer=explore&traceInfo=01d5b46b-2072-4b99-8d25-2eaab185196e","₫ 10-20 Tr","Việc làm fulltime","1 – 3 năm","Tối thiểu Cử Nhân","Customer Service","+3","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/1e245ff931e2b20784bc188a5881864b.jpg","Công ty Cổ Phần SotaTek","https://glints.com/vn/companies/cong-ty-co-phan-sotatek/f614e2df-65c2-427d-8499-915f45d639c9","Quận Cầu Giấy","https://glints.com/vn/job-location/vietnam/ha-noi/quan-cau-giay","Hà Nội","https://glints.com/vn/job-location/vietnam/ha-noi","5 ngày trước",""
"Thực Tâp Sinh Biên Phiên Dịch Tiếng Nhật Ngành IT","https://glints.com/vn/opportunities/jobs/thuc-tap-sinh-bien-phien-dich-tieng-nhat-nganh-it/b0abef0b-568e-4a35-ba68-5070ada27dbe?utm_referrer=explore&traceInfo=01d5b46b-2072-4b99-8d25-2eaab185196e","","Việc làm fulltime","Tối thiểu Cử Nhân","","","","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/bc34c9b61ae99c0ef4f83343fb351e09.jpg","W2SOLUTION VIỆT NAM","https://glints.com/vn/companies/w2solution-viet-nam/e48569be-6223-4e5d-8a19-2f5eb20db47a","Quận Ba","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-ba","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","12 ngày trước","Không công khai"
"[KCX LINH TRUNG 1] - PHIÊN DỊCH TIẾNG NHẬT PHÒNG IT - 18M GRS","https://glints.com/vn/opportunities/jobs/kcx-linh-trung-1-phien-dich-tieng-nhat-phong-it-18m-grs/e2db16eb-b362-4244-9bdd-8ee129051b7e?utm_referrer=explore&traceInfo=01d5b46b-2072-4b99-8d25-2eaab185196e","₫ 16-18 Tr","Việc làm fulltime","1 – 3 năm","Tối thiểu Cử Nhân","Machine Translation","+2","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/49278a5f55e94cee0751d97c1ddc0729.png","RETKI INTERNATIONAL TRADE DEVELOPMENT COMPANY LIMITED","https://glints.com/vn/companies/retki-international-trade-development-company-limited/3147931d-99ff-4a42-835c-d38d23dab799","Quận Thủ Đức","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-thu-duc","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","13 ngày trước",""
"Senior Software Engineer (Python / JavaScript)","https://glints.com/vn/opportunities/jobs/senior-software-engineer-python-javascript/7d9aa1ea-c6cc-4cbf-b925-8957e0367c7d?utm_referrer=explore&traceInfo=01d5b46b-2072-4b99-8d25-2eaab185196e","₫ 40-55 Tr","Việc làm fulltime","5 – 10 năm","Tối thiểu Cử Nhân","LLM","+4","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/ef22aa352816dc994c8550c6c8012056.jpg","INNOMIZE","https://glints.com/vn/companies/innomize/1c61f16d-45a6-4239-a3fb-3e44aeecf0f8","Quận Tân Bình","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-tan-binh","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","13 ngày trước",""
"ERP/Python Developer (Junior/ Middle)","https://glints.com/vn/opportunities/jobs/erp-python-developer-junior-middle/b80c5ae5-46c9-4152-9a59-d0f0e21c2897?utm_referrer=explore&traceInfo=01d5b46b-2072-4b99-8d25-2eaab185196e","","Hybrid","Việc làm fulltime","Tối thiểu Cử Nhân","Python","+5","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/7b98c1ed57e35ffff5171ef90ef33a17.png","Novobi","https://glints.com/vn/companies/novobi/7d062943-ae7e-453d-b5e7-49c2e1a18452","Quận Mười","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-muoi","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","17 ngày trước","Không công khai"
"FRESHER IT PROGRAMING - ENG GIAO TIẾP - KCN LONG ĐỨC ĐỒNG NAI","https://glints.com/vn/opportunities/jobs/fresher-it-programing-eng-giao-tiep-kcn-long-duc-dong-nai/670ca0b0-481f-4340-833c-003cc8efbe86?utm_referrer=explore&traceInfo=01d5b46b-2072-4b99-8d25-2eaab185196e","₫ 11-13 Tr","Việc làm fulltime","Tối thiểu Cử Nhân","English Language","MySQL","+4","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/a24738a0100c240aedbe960eefd4c4ed.png","CÔNG TY CP KẾT NỐI NHÂN LỰC WORKLINK VIỆT NAM","https://glints.com/vn/companies/cong-ty-cp-ket-noi-nhan-luc-worklink-viet-nam/1802aeef-2140-4b85-8ba3-924c0fa356dd","Long Thành","https://glints.com/vn/job-location/vietnam/dong-nai/long-thanh","Đồng Nai","https://glints.com/vn/job-location/vietnam/dong-nai","27 ngày trước",""
"Software Engineer (.Net Developer)","https://glints.com/vn/opportunities/jobs/software-engineer-net-developer/16a9a4c0-4e24-46bb-b6c9-4bf1761949d3?utm_referrer=explore&traceInfo=01d5b46b-2072-4b99-8d25-2eaab185196e","","Việc làm fulltime","3 – 5 năm","Tối thiểu Cử Nhân","ASP.NET","+2","https://images.glints.com/unsafe/glints-dashboard.oss-ap-southeast-1-internal.aliyuncs.com/company-logo/18612f67117955646f4cec60ba94feb4.png","FPT Telecom International","https://glints.com/vn/companies/fpt-telecom-international/20a1ceb0-3c60-4d24-8cce-c9a9091a545a","Quận Bảy","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh/quan-bay","Thành phố Hồ Chí Minh","https://glints.com/vn/job-location/vietnam/thanh-pho-ho-chi-minh","5 ngày trước","Không công khai"
