"ilabel","small-text","imt-3","bg-white href","border-radius-normal src","text-rich-grey","sign-in-view-salary href","position-relative","position-relative href","text-rich-grey 2","text-rich-grey 3","text-reset","text-reset href","text-reset 2","text-reset href 2","text-reset 3","text-reset href 3","text-reset 4","text-reset href 4","text-reset 5","text-reset href 5","text-reset 6","text-reset href 6","stretched-link"
"SUPER HOT","Posted
7 hours ago","[Da Nang] Full-Stack Developer (ReactJS/ NodeJS)","https://itviec.com/companies/one-tech-stop-vietnam-company-ltd?lab_feature=preview_jd_page","https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6NjA4NjQyNSwicHVyIjoiYmxvYl9pZCJ9fQ==--513fdacc2aa26e127770f0c982a5164b9a304d3c/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJwbmciLCJyZXNpemVfdG9fZml0IjpbMTAwLDEwMF19LCJwdXIiOiJ2YXJpYXRpb24ifX0=--2c09c01614b0eadd76dc50ef69cc03e9b7dc664e/OTSV%20Logo%20Sticker.png","ONE Tech Stop Vietnam Company Ltd","https://itviec.com/sign_in?job=da-nang-full-stack-developer-reactjs-nodejs-one-tech-stop-vietnam-company-ltd-0924&job_index=2&view_salary_source=search_page","Fullstack Developer","https://itviec.com/it-jobs/fullstack-developer","At office","Da Nang","NodeJS","https://itviec.com/it-jobs/nodejs?click_source=Skill+tag","MongoDB","https://itviec.com/it-jobs/mongodb?click_source=Skill+tag","ReactJS","https://itviec.com/it-jobs/reactjs?click_source=Skill+tag","NextJS","https://itviec.com/it-jobs/nextjs?click_source=Skill+tag","TypeScript","https://itviec.com/it-jobs/typescript?click_source=Skill+tag","SQL","https://itviec.com/it-jobs/sql?click_source=Skill+tag",""
"SUPER HOT","Posted
7 hours ago","[Da Nang] Scrum Master","https://itviec.com/companies/one-tech-stop-vietnam-company-ltd?lab_feature=preview_jd_page","https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6NjA4NjQyNSwicHVyIjoiYmxvYl9pZCJ9fQ==--513fdacc2aa26e127770f0c982a5164b9a304d3c/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJwbmciLCJyZXNpemVfdG9fZml0IjpbMTAwLDEwMF19LCJwdXIiOiJ2YXJpYXRpb24ifX0=--2c09c01614b0eadd76dc50ef69cc03e9b7dc664e/OTSV%20Logo%20Sticker.png","ONE Tech Stop Vietnam Company Ltd","https://itviec.com/sign_in?job=da-nang-scrum-master-one-tech-stop-vietnam-company-ltd-0856&job_index=3&view_salary_source=search_page","Scrum Master / Agile Coach","https://itviec.com/it-jobs/scrum-master-agile-coach","At office","Da Nang","Scrum","https://itviec.com/it-jobs/scrum?click_source=Skill+tag","Leadership","https://itviec.com/it-jobs/leadership?click_source=Skill+tag","Team Management","https://itviec.com/it-jobs/team-management?click_source=Skill+tag","Agile","https://itviec.com/it-jobs/agile?click_source=Skill+tag","English","https://itviec.com/it-jobs/english?click_source=Skill+tag","","",""
"SUPER HOT","Posted
7 hours ago","[Ho Chi Minh] Full-Stack Developer (ReactJS/ NodeJS)","https://itviec.com/companies/one-tech-stop-vietnam-company-ltd?lab_feature=preview_jd_page","https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6NjA4NjQyNSwicHVyIjoiYmxvYl9pZCJ9fQ==--513fdacc2aa26e127770f0c982a5164b9a304d3c/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJwbmciLCJyZXNpemVfdG9fZml0IjpbMTAwLDEwMF19LCJwdXIiOiJ2YXJpYXRpb24ifX0=--2c09c01614b0eadd76dc50ef69cc03e9b7dc664e/OTSV%20Logo%20Sticker.png","ONE Tech Stop Vietnam Company Ltd","https://itviec.com/sign_in?job=ho-chi-minh-full-stack-developer-reactjs-nodejs-one-tech-stop-vietnam-company-ltd-0944&job_index=4&view_salary_source=search_page","Fullstack Developer","https://itviec.com/it-jobs/fullstack-developer","At office","Ho Chi Minh","NodeJS","https://itviec.com/it-jobs/nodejs?click_source=Skill+tag","HTML","https://itviec.com/it-jobs/html?click_source=Skill+tag","ReactJS","https://itviec.com/it-jobs/reactjs?click_source=Skill+tag","NextJS","https://itviec.com/it-jobs/nextjs?click_source=Skill+tag","TypeScript","https://itviec.com/it-jobs/typescript?click_source=Skill+tag","SQL","https://itviec.com/it-jobs/sql?click_source=Skill+tag",""
"SUPER HOT","Posted
7 hours ago","[Da Nang & Ho Chi Minh] Technical Architect","https://itviec.com/companies/one-tech-stop-vietnam-company-ltd?lab_feature=preview_jd_page","https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6NjA4NjQyNSwicHVyIjoiYmxvYl9pZCJ9fQ==--513fdacc2aa26e127770f0c982a5164b9a304d3c/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJwbmciLCJyZXNpemVfdG9fZml0IjpbMTAwLDEwMF19LCJwdXIiOiJ2YXJpYXRpb24ifX0=--2c09c01614b0eadd76dc50ef69cc03e9b7dc664e/OTSV%20Logo%20Sticker.png","ONE Tech Stop Vietnam Company Ltd","https://itviec.com/sign_in?job=da-nang-ho-chi-minh-technical-architect-one-tech-stop-vietnam-company-ltd-0830&job_index=5&view_salary_source=search_page","Software/Technical Architect","https://itviec.com/it-jobs/software-technical-architect","At office","Ho Chi Minh - Da Nang","Software Architecture","https://itviec.com/it-jobs/software-architecture?click_source=Skill+tag","ReactJS","https://itviec.com/it-jobs/reactjs?click_source=Skill+tag","NestJS","https://itviec.com/it-jobs/nestjs?click_source=Skill+tag","Cloud","https://itviec.com/it-jobs/cloud?click_source=Skill+tag","DevOps","https://itviec.com/it-jobs/devops?click_source=Skill+tag","","","+1"
"SUPER HOT","Posted
7 hours ago","[Da Nang / Ho Chi Minh] UI/UX Designer","https://itviec.com/companies/one-tech-stop-vietnam-company-ltd?lab_feature=preview_jd_page","https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6NjA4NjQyNSwicHVyIjoiYmxvYl9pZCJ9fQ==--513fdacc2aa26e127770f0c982a5164b9a304d3c/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJwbmciLCJyZXNpemVfdG9fZml0IjpbMTAwLDEwMF19LCJwdXIiOiJ2YXJpYXRpb24ifX0=--2c09c01614b0eadd76dc50ef69cc03e9b7dc664e/OTSV%20Logo%20Sticker.png","ONE Tech Stop Vietnam Company Ltd","https://itviec.com/sign_in?job=da-nang-ho-chi-minh-ui-ux-designer-one-tech-stop-vietnam-company-ltd-0738&job_index=6&view_salary_source=search_page","UX/UI Designer","https://itviec.com/it-jobs/ux-ui-designer","At office","Da Nang - Ho Chi Minh","UI-UX","https://itviec.com/it-jobs/ui-ux?click_source=Skill+tag","Design","https://itviec.com/it-jobs/design?click_source=Skill+tag","Agile","https://itviec.com/it-jobs/agile?click_source=Skill+tag","","","","","","",""
"SUPER HOT","Posted
16 hours ago","Trưởng nhóm MLOps (Khối AI Thiết bị/AI Open Platform)","https://itviec.com/companies/vinsmart-future?lab_feature=preview_jd_page","https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6Njg3OTA4NywicHVyIjoiYmxvYl9pZCJ9fQ==--dfd3930dcd559d16a859989ee33a0da6d537b570/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJwbmciLCJyZXNpemVfdG9fZml0IjpbMTAwLDEwMF19LCJwdXIiOiJ2YXJpYXRpb24ifX0=--2c09c01614b0eadd76dc50ef69cc03e9b7dc664e/image.png","VinSmart Future","https://itviec.com/sign_in?job=truong-nhom-mlops-khoi-ai-thiet-bi-ai-open-platform-vinsmart-future-3616&job_index=7&view_salary_source=search_page","Manager","https://itviec.com/it-jobs/manager","At office","Ha Noi","MLOps","https://itviec.com/it-jobs/mlops?click_source=Skill+tag","Docker","https://itviec.com/it-jobs/docker?click_source=Skill+tag","Project Management","https://itviec.com/it-jobs/project-management?click_source=Skill+tag","Business Analysis","https://itviec.com/it-jobs/business-analysis?click_source=Skill+tag","","","","","+2"
"SUPER HOT","Posted
1 day ago","Senior AI Engineer (Computer Vision/NLP/LLM)","https://itviec.com/companies/mb-bank?lab_feature=preview_jd_page","https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6MjM1MzI1NSwicHVyIjoiYmxvYl9pZCJ9fQ==--ce13bc877c6ba6ce4f69b2dca684629e102ea643/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJwbmciLCJyZXNpemVfdG9fZml0IjpbMTAwLDEwMF19LCJwdXIiOiJ2YXJpYXRpb24ifX0=--2c09c01614b0eadd76dc50ef69cc03e9b7dc664e/Logo%20MB%20he%20mau%20RGB%2001.png","MB Bank","https://itviec.com/sign_in?job=senior-ai-engineer-computer-vision-nlp-llm-mb-bank-2836&job_index=12&view_salary_source=search_page","Computer Vision Engineer","https://itviec.com/it-jobs/computer-vision-engineer","At office","Ha Noi","AI","https://itviec.com/it-jobs/ai?click_source=Skill+tag","TensorFlow","https://itviec.com/it-jobs/tensorflow?click_source=Skill+tag","PyTorch","https://itviec.com/it-jobs/pytorch?click_source=Skill+tag","Microservices","https://itviec.com/it-jobs/microservices?click_source=Skill+tag","C++","https://itviec.com/it-jobs/c++?click_source=Skill+tag","Python","https://itviec.com/it-jobs/python?click_source=Skill+tag",""
"SUPER HOT","Posted
1 day ago","AI Expert (Deep Learning, Machine Learning)","https://itviec.com/companies/mb-bank?lab_feature=preview_jd_page","https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6MjM1MzI1NSwicHVyIjoiYmxvYl9pZCJ9fQ==--ce13bc877c6ba6ce4f69b2dca684629e102ea643/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJwbmciLCJyZXNpemVfdG9fZml0IjpbMTAwLDEwMF19LCJwdXIiOiJ2YXJpYXRpb24ifX0=--2c09c01614b0eadd76dc50ef69cc03e9b7dc664e/Logo%20MB%20he%20mau%20RGB%2001.png","MB Bank","https://itviec.com/sign_in?job=ai-expert-deep-learning-machine-learning-mb-bank-2321&job_index=13&view_salary_source=search_page","AI / Machine Learning Engineer","https://itviec.com/it-jobs/ai-machine-learning-engineer","At office","Ha Noi","AI","https://itviec.com/it-jobs/ai?click_source=Skill+tag","LLM","https://itviec.com/it-jobs/llm?click_source=Skill+tag","Deep Learning","https://itviec.com/it-jobs/deep-learning?click_source=Skill+tag","Machine Learning","https://itviec.com/it-jobs/machine-learning?click_source=Skill+tag","Computer Vision","https://itviec.com/it-jobs/computer-vision?click_source=Skill+tag","","","+1"
"SUPER HOT","Posted
1 day ago","Senior AI Expert (Machine Learning, Deep Learning)","https://itviec.com/companies/mb-bank?lab_feature=preview_jd_page","https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6MjM1MzI1NSwicHVyIjoiYmxvYl9pZCJ9fQ==--ce13bc877c6ba6ce4f69b2dca684629e102ea643/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJwbmciLCJyZXNpemVfdG9fZml0IjpbMTAwLDEwMF19LCJwdXIiOiJ2YXJpYXRpb24ifX0=--2c09c01614b0eadd76dc50ef69cc03e9b7dc664e/Logo%20MB%20he%20mau%20RGB%2001.png","MB Bank","https://itviec.com/sign_in?job=senior-ai-expert-machine-learning-deep-learning-mb-bank-2546&job_index=14&view_salary_source=search_page","AI / Machine Learning Engineer","https://itviec.com/it-jobs/ai-machine-learning-engineer","At office","Ha Noi","AI","https://itviec.com/it-jobs/ai?click_source=Skill+tag","LLM","https://itviec.com/it-jobs/llm?click_source=Skill+tag","Deep Learning","https://itviec.com/it-jobs/deep-learning?click_source=Skill+tag","Machine Learning","https://itviec.com/it-jobs/machine-learning?click_source=Skill+tag","Computer Vision","https://itviec.com/it-jobs/computer-vision?click_source=Skill+tag","","","+1"
"SUPER HOT","Posted
1 day ago","Trưởng phòng Công nghệ Thị giác Máy tính","https://itviec.com/companies/mb-bank?lab_feature=preview_jd_page","https://itviec.com/rails/active_storage/representations/proxy/eyJfcmFpbHMiOnsiZGF0YSI6MjM1MzI1NSwicHVyIjoiYmxvYl9pZCJ9fQ==--ce13bc877c6ba6ce4f69b2dca684629e102ea643/eyJfcmFpbHMiOnsiZGF0YSI6eyJmb3JtYXQiOiJwbmciLCJyZXNpemVfdG9fZml0IjpbMTAwLDEwMF19LCJwdXIiOiJ2YXJpYXRpb24ifX0=--2c09c01614b0eadd76dc50ef69cc03e9b7dc664e/Logo%20MB%20he%20mau%20RGB%2001.png","MB Bank","https://itviec.com/sign_in?job=truong-phong-cong-nghe-thi-giac-may-tinh-mb-bank-1723&job_index=15&view_salary_source=search_page","Computer Vision Engineer","https://itviec.com/it-jobs/computer-vision-engineer","At office","Ha Noi","Computer Vision","https://itviec.com/it-jobs/computer-vision?click_source=Skill+tag","Deep Learning","https://itviec.com/it-jobs/deep-learning?click_source=Skill+tag","Machine Learning","https://itviec.com/it-jobs/machine-learning?click_source=Skill+tag","AI","https://itviec.com/it-jobs/ai?click_source=Skill+tag","","","","","+2"
