"text-decoration-none href","rounded src","job-title","text-muted","mt-1","mt-1 2","badge","badge 2","badge 3"
"https://jobsgo.vn/viec-lam/nhan-vien-kinh-doanh-dich-vu-hosting-vps-thu-nhap-len-den-30-trieu-thang-26327576255.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/61333-200x200.jpg?v=1775531541","Nhân Viên Kinh Doanh Dịch Vụ Hosting/VPS (Thu Nhập Lên Đến 30 Triệu/ Tháng)","Công Ty Cổ Phần Giải Pháp Và Công Nghệ Vietnix","10 - 30 triệu VNĐ","Hồ Chí Minh","Full-time","Trên 1 năm","16 phút trước"
"https://jobsgo.vn/viec-lam/chuyen-vien-phan-tich-ky-thuat-chuyen-sau-technical-ba-26422330517.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/1631-200x200.jpg?v=1753240259","Chuyên Viên Phân Tích (Kỹ Thuật Chuyên Sâu) - Technical Ba","Tổng Công ty cổ phần bảo hiểm Toàn Cầu","Thỏa thuận","Hồ Chí Minh","Full-time","Trên 4 năm","26 phút trước"
"https://jobsgo.vn/viec-lam/nhan-vien-kinh-doanh-phan-mem-software-sales-executive-thu-nhap-trung-binh-tu-15-trieu-an-khanh-quan-2-cu-26639825360.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/146831-200x200.jpg?v=1776852210","Nhân Viên Kinh Doanh Phần Mềm (Software Sales Executive) - Thu Nhập Trung Bình Từ 15 Triệu - An Khánh, Quận 2 (Cũ)","Công Ty Cổ Phần Lot","Từ 15 triệu VNĐ","Hồ Chí Minh","Full-time","Trên 1 năm","6 phút trước"
"https://jobsgo.vn/viec-lam/nhan-vien-kinh-doanh-phan-mem-software-sales-b2b-hoa-hong-cao-26750630000.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/486504-200x200.jpg?v=1777437982","Nhân Viên Kinh Doanh Phần Mềm – Software Sales B2B/Hoa Hồng Cao","Công Ty Cổ Phần Lot","15 - 100 triệu VNĐ","Hồ Chí Minh","Full-time","Không yêu cầu","26 phút trước"
"https://jobsgo.vn/viec-lam/nhan-vien-tieng-nhat-n2-nhung-chua-co-nen-tang-it-non-it-lo-trinh-dao-tao-mien-phi-tro-thanh-ky-su-it-lam-viec-tai-nhat-ban-26672768014.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/30897-200x200.jpg?v=1776931231","Nhân Viên Tiếng Nhật (N2) Nhưng Chưa Có Nền Tảng IT (Non - IT) - Lộ Trình Đào Tạo Miễn Phí Trở Thành Kỹ Sư IT & Làm Việc Tại Nhật Bản.","Công Ty TNHH Evoltech Việt Nam","Thỏa thuận","Toàn quốc,...","Full-time","Không yêu cầu","56 phút trước"
"https://jobsgo.vn/viec-lam/dieu-phoi-du-an-quan-10-26015367887.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/407846-200x200.jpg?v=1769484964","Điều Phối Dự Án - Quận 10","Công Ty Cổ Phần Thiết Kế Green","Thỏa thuận","Hồ Chí Minh","Full-time","Dưới 5 năm","56 phút trước"
"https://jobsgo.vn/viec-lam/nhan-vien-kinh-doanh-tu-van-dich-vu-thiet-ke-data-co-san-thu-nhap-10-20-trieu-26044739264.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/80366-200x200.jpg?v=1739345590","Nhân Viên Kinh Doanh/ Tư Vấn Dịch Vụ Thiết Kế (Data Có Sẵn) Thu Nhập 10 - 20 Triệu","Công Ty Cổ Phần Vinaduy","10 - 20 triệu VNĐ","Hồ Chí Minh,","Full-time","Không yêu cầu","16 phút trước"
"https://jobsgo.vn/viec-lam/ky-thuat-vien-lap-dat-va-bao-tri-may-nha-khoa-26174948295.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/25533-200x200.jpg?v=1774607573","Kỹ Thuật Viên Lắp Đặt Và Bảo Trì Máy Nha Khoa","Công Ty TNHH Đầu Tư Công Nghệ Y Tế Vtech","12 - 15 triệu VNĐ","Hồ Chí Minh","Full-time","Không yêu cầu","36 phút trước"
"https://jobsgo.vn/viec-lam/ky-thuat-vien-sua-chua-dien-thoai-tai-ho-chi-minh-25571470377.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/150643-200x200.jpg?v=1763363728","Kỹ Thuật Viên Sửa Chữa Điện Thoại Tại Hồ Chí Minh","Công Ty TNHH Thương Mại Dịch Vụ Công Nghệ Số","8 - 12 triệu VNĐ","Hồ Chí Minh","Full-time","1 - 2 năm","56 phút trước"
"https://jobsgo.vn/viec-lam/nhan-vien-kinh-doanh-sales-hcm-binh-duong-26353770146.html?ref_component=job_list__item","https://media.jobsgo.vn/media/img/employer/56628-200x200.jpg?v=1668496460","Nhân Viên Kinh Doanh/Sales (HCM, Bình Dương)","Công Ty TNHH Công Nghệ AKAS","20 - 25 triệu VNĐ","Bình Dương, Hồ Chí Minh","Full-time","Trên 1 năm","1 giờ trước"
