"tablescraper-selected-row href","object-contain src","text-[16px]","text-[14px]","text-[14px] 2","text-se-neutral-80","tooltip-content","text-14","rounded-[8px] 2"
"https://vieclam24h.vn/ban-hang-kinh-doanh/chuyen-vien-kinh-doanh-phan-mem-b2b-thu-nhap-len-den-20m-c13p122id200814269.html?open_from=0201_1_1&search_id=8934079a3f634e9eeb36b3c501feb62a","https://cdn1.vieclam24h.vn/images/employer_avatar/2026/04/27/z7769138956348_2c1b35e5cb6a233b983772f7e8f0bc24_177729699027.w-128.h-128.jpg?v=220513","Chuyên Viên Kinh Doanh Phần Mềm B2B – Thu Nhập Lên Đến 20M","Công Ty TNHH Công Nghệ Vihat","9 - 20 triệu","TP.HCM","TP.HCM","Còn 33 ngày","Ngày hết hạn nộp hồ sơ 05/06/2026"
"https://vieclam24h.vn/dien-dien-tu-dien-lanh/nhan-vien-ky-thuat-lap-camera-c41p73id200799010.html?open_from=0201_1_2&search_id=8934079a3f634e9eeb36b3c501feb62a","https://cdn1.vieclam24h.vn/images/default/2024/05/30/img-1717065427145_171706542861.w-128.h-128.png?v=220513","Nhân Viên Kỹ Thuật Lắp Camera","Công ty Cổ Phần Đầu Tư Công Nghệ HACOM","12 - 20 triệu","Hà Nội","Hà Nội","Còn 9 ngày","Ngày hết hạn nộp hồ sơ 12/05/2026"
"https://vieclam24h.vn/dien-dien-tu-dien-lanh/ky-thuat-vien-lap-dat-thi-cong-mang-camera-c41p119id200809880.html?open_from=0201_1_3&search_id=8934079a3f634e9eeb36b3c501feb62a","https://cdn1.vieclam24h.vn/images/default/2026/04/21/img-1776753773689_177675377346.w-128.h-128.png?v=220513","Kỹ Thuật Viên Lắp Đặt, Thi Công Mạng & Camera","Công Ty Tnhh Công Nghệ Thông Tin Và Truyền Thông Cự Phong","12 - 18 triệu","Bình Dương, Hải Phòng","Bình Dương, Hải Phòng","Còn 17 ngày","Ngày hết hạn nộp hồ sơ 20/05/2026"
"https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-kinh-doanh-online-thiet-bi-van-phong-c13p73id200804700.html?open_from=0201_1_4&search_id=8934079a3f634e9eeb36b3c501feb62a","https://cdn1.vieclam24h.vn/images/default/2024/05/30/img-1717065427145_171706542861.w-128.h-128.png?v=220513","Nhân Viên Kinh Doanh Online (Thiết Bị Văn Phòng)","Công ty Cổ Phần Đầu Tư Công Nghệ HACOM","12 - 14 triệu","Hà Nội","Hà Nội","Còn 9 ngày","Ngày hết hạn nộp hồ sơ 12/05/2026"
"https://vieclam24h.vn/it-phan-cung-mang/nhan-vien-ky-thuat-lap-dat-bao-tri-thu-nhap-15-20-trieu-c7p73id200812139.html?open_from=0201_1_5&search_id=8934079a3f634e9eeb36b3c501feb62a","https://cdn1.vieclam24h.vn/images/default/2024/08/01/img-1722495382695_172249538188.w-128.h-128.png?v=220513","Nhân Viên Kỹ Thuật Lắp Đặt, Bảo Trì - Thu Nhập 15-20 Triệu","Công Ty Cổ Phần Phát Triển Công Nghệ Ngày Đêm","15 - 20 triệu","Hà Nội","Hà Nội","Còn 19 ngày","Ngày hết hạn nộp hồ sơ 22/05/2026"
"","","","","","","","Điền nhanh một vài thông tin để xem những công việc phù hợp hơn với bạn.",""
"https://vieclam24h.vn/it-phan-cung-mang/nhan-trien-khai-du-an-lap-dat-c7p73id200804935.html?open_from=0201_1_6&search_id=8934079a3f634e9eeb36b3c501feb62a","https://cdn1.vieclam24h.vn/tvn/images/employer_avatar/2021/12/17/images/163971526266.w-128.h-128.jpeg?v=220513","Nhân Triển Khai Dự Án Lắp Đặt","Công Ty Cổ Phần Truyền Thông Att Việt Nam","8 - 12 triệu","Hà Nội","Hà Nội","Còn 15 ngày","Ngày hết hạn nộp hồ sơ 18/05/2026"
"https://vieclam24h.vn/it-phan-mem/chuyen-vien-tin-hoc-thu-nhap-on-dinh-c8p73id200816357.html?open_from=0201_1_7&search_id=8934079a3f634e9eeb36b3c501feb62a","https://cdn1.vieclam24h.vn/tvn/images/default/2022/05/27/images/165363601297.w-128.h-128.jpeg?v=220513","Chuyên Viên Tin Học - Thu Nhập Ổn Định","Công Ty Vận Chuyển Và Kho Vận Bưu Điện - Tổng Công Ty Bưu Điện Việt Nam","14 - 17 triệu","Hà Nội","Hà Nội","Còn 26 ngày","Ngày hết hạn nộp hồ sơ 29/05/2026"
"https://vieclam24h.vn/thiet-ke-sang-tao-nghe-thuat/graphic-designer-kiem-video-editor-c3p73id200815745.html?open_from=0201_1_8&search_id=8934079a3f634e9eeb36b3c501feb62a","https://cdn1.vieclam24h.vn/images/employer_avatar/2025/06/16/phong-xanh_175005588428.w-128.h-128.jpg?v=220513","Graphic Designer Kiêm Video Editor","Công Ty TNHH Dịch Vụ Vận Tải Và Thương Mại Hk","8 - 15 triệu","Hà Nội","Hà Nội","Còn 27 ngày","Ngày hết hạn nộp hồ sơ 30/05/2026"
"https://vieclam24h.vn/ban-hang-kinh-doanh/nhan-vien-kinh-doanh-thiet-bi-dien-tu-di-lam-ngay-c13p122id200815119.html?open_from=0201_1_9&search_id=8934079a3f634e9eeb36b3c501feb62a","https://cdn1.vieclam24h.vn/tvn/images/old_employer_avatar/images/4174bffd9e148cabf7fea889bae2e3b4_599a439b70f7a_1503282075.w-128.h-128.png?v=220513","Nhân Viên Kinh Doanh Thiết Bị Điện Tử - Đi Làm Ngay","Công Ty TNHH Công Nghệ Hoàng Nguyễn","6 - 15 triệu","TP.HCM","TP.HCM","Còn 27 ngày","Ngày hết hạn nộp hồ sơ 30/05/2026"
