"img_job_card href","sc-cHHTbD src","sc-cdaca-d","sc-cpgxJx","sc-cpgxJx href","sc-dauhQT","sc-jNUliw","sc-lccgLh","sc-bXWnss","sc-bXWnss 2","sc-bXWnss 3","sc-bXWnss 4"
"https://www.vietnamworks.com/it-operations-on-site-2035961-jv?source=searchResults&searchType=2&placement=2035961&sortBy=date&qs=0","https://cdn.vietnamworks.com/images?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F6f%2F10982670.png&w=3840&q=75","IT Operations On-Site","Công ty Cổ Phần Draexlmaier Automotive Việt Nam","https://www.vietnamworks.com/nha-tuyen-dung/cong-ty-co-phan-draexlmaier-automotive-viet-nam-c321608","Thương lượng","Đà Nẵng, Quảng Nam","Hôm nay","Information Technology","Computer Science","IT Support","+5"
"https://www.vietnamworks.com/-hnhcm-senior-automationmanual-test-2018749-jv?source=searchResults&searchType=2&placement=2018749&sortBy=date&qs=0","https://cdn.vietnamworks.com/images?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F1a%2F11046976.png&w=3840&q=75","(HN/HCM) Senior Automation/Manual Test","One Mount","https://www.vietnamworks.com/nha-tuyen-dung/one-mount-c321984","$ 1,500-2,500 /tháng","Hồ Chí Minh, Hà Nội","Hôm nay","Data Structure","Java","NoSQL",""
"https://www.vietnamworks.com/-hnhcm-senior-frontend-engineer-javascript-es6-2018737-jv?source=searchResults&searchType=2&placement=2018737&sortBy=date&qs=0","https://cdn.vietnamworks.com/images?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F1a%2F11046976.png&w=3840&q=75","(HN/HCM) Senior Frontend Engineer (JavaScript (ES6+))","One Mount","https://www.vietnamworks.com/nha-tuyen-dung/one-mount-c321984","$ 1,500-2,500 /tháng","Hồ Chí Minh, Hà Nội","Hôm nay","JavaScript","NextJs","ReactJS","+1"
"https://www.vietnamworks.com/senior-data-tester-data-and-digital-transformation-division-dto--2046022-jv?source=searchResults&searchType=2&placement=2046022&sortBy=date&qs=0","https://cdn.vietnamworks.com/images?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F53%2F11260376.png&w=3840&q=75","Senior Data Tester - Data and Digital Transformation Division (DTO)","Ngân Hàng TMCP Quốc Dân (NCB)","https://www.vietnamworks.com/nha-tuyen-dung/ngan-hang-tmcp-quoc-dan-ncb--c171670","Thương lượng","Hà Nội","Hôm nay","Test Planning","Test execution","Truy vấn SQL","+1"
"https://www.vietnamworks.com/senior-data-engineer--2046009-jv?source=searchResults&searchType=2&placement=2046009&sortBy=date&qs=0","https://cdn.vietnamworks.com/images?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F53%2F11260376.png&w=3840&q=75","Senior Data Engineer","Ngân Hàng TMCP Quốc Dân ( NCB )","https://www.vietnamworks.com/nha-tuyen-dung/ngan-hang-tmcp-quoc-dan-ncb--c171670","Thương lượng","Hà Nội","Hôm nay","SQL","Python","Hadoop","+2"
"https://www.vietnamworks.com/senior-business-and-data-analyst--2046006-jv?source=searchResults&searchType=2&placement=2046006&sortBy=date&qs=0","https://cdn.vietnamworks.com/images?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F53%2F11260376.png&w=3840&q=75","Senior Business And Data Analyst","Ngân Hàng TMCP Quốc Dân ( NCB )","https://www.vietnamworks.com/nha-tuyen-dung/ngan-hang-tmcp-quoc-dan-ncb--c171670","Thương lượng","Hà Nội","Hôm nay","Data Analysis","Banking","T24","+2"
"https://www.vietnamworks.com/project-manager-super-app-project-dto--2046015-jv?source=searchResults&searchType=2&placement=2046015&sortBy=date&qs=0","https://cdn.vietnamworks.com/images?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F53%2F11260376.png&w=3840&q=75","Project Manager (Super App Project) - DTO","Ngân Hàng TMCP Quốc Dân (NCB)","https://www.vietnamworks.com/nha-tuyen-dung/ngan-hang-tmcp-quoc-dan-ncb--c171670","Thương lượng","Hà Nội","Hôm nay","Project Management","Digital Banking","Digital Transformation","+2"
"https://www.vietnamworks.com/frontend-developer-reactjsvuejs-fintechtrading-platform-2045860-jv?source=searchResults&searchType=2&placement=2045860&sortBy=date&qs=0","https://cdn.vietnamworks.com/images?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2Ffb%2F10948090.png&w=3840&q=75","Frontend Developer (Reactjs/vuejs) – Fintech/trading Platform","Công Ty TNHH Chứng Khoán Jb Việt Nam","https://www.vietnamworks.com/nha-tuyen-dung/cong-ty-tnhh-chung-khoan-jb-viet-nam-c324954","Thương lượng","Hà Nội","Hôm nay","Front End Web Design","ReactJS","VueJS","+3"
"https://www.vietnamworks.com/footwear-qc-inspector-binh-tan-hcm-2044238-jv?source=searchResults&searchType=2&placement=2044238&sortBy=date&qs=0","https://cdn.vietnamworks.com/images?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2Fea%2F11127165.png&w=3840&q=75","Footwear QC Inspector 鞋类质量检验员(Binh Tan, HCM)","Amer Sports Vietnam Limited","https://www.vietnamworks.com/nha-tuyen-dung/amer-sports-vietnam-limited-c161147","25tr-30tr ₫/tháng","Hồ Chí Minh","Hôm nay","Footwear","Quality Control","Chinese","+1"
"https://www.vietnamworks.com/nhan-vien-tu-van-va-trien-khai-giai-phap-ky-thuat-pre-sale-2025475-jv?source=searchResults&searchType=2&placement=2025475&sortBy=date&qs=0","https://cdn.vietnamworks.com/images?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F9b%2F11431974.png&w=3840&q=75","Nhân Viên Tư Vấn và Triển Khai Giải Pháp Kỹ Thuật (Pre-sale)","CÔNG TY CỔ PHẦN PHÁT TRIỂN CÔNG NGHỆ TECHPRO","https://www.vietnamworks.com/nha-tuyen-dung/cong-ty-co-phan-phat-trien-cong-nghe-techpro-c19537","Thương lượng","Hà Nội, Hồ Chí Minh","Hôm nay","AutoCAD 2D","Cơ Điện Tử","Technical Reading","+1"
"https://www.vietnamworks.com/senior-associate-legal-cosec-administration-2037902-jv?source=searchResults&searchType=2&placement=2037902&sortBy=date&qs=0","https://cdn.vietnamworks.com/images?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2Fd9%2F11293186.png&w=3840&q=75","Senior Associate, Legal & Cosec Administration","NAB Innovation Centre Vietnam","https://www.vietnamworks.com/nha-tuyen-dung/nab-innovation-centre-vietnam-c316318","Thương lượng","Hồ Chí Minh","Hôm nay","Legal","Secretarial Skills","Compliance and Controls","+1"
"https://www.vietnamworks.com/3d-rigger--2045325-jv?source=searchResults&searchType=2&placement=2045325&sortBy=date&qs=0","https://cdn.vietnamworks.com/images?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2Fd4%2F11407339.png&w=3840&q=75","3D Rigger","Công Ty TNHH Nexon Creative Studio VINA","https://www.vietnamworks.com/nha-tuyen-dung/cong-ty-tnhh-nexon-creative-studio-vina-c408842","Thương lượng","Hồ Chí Minh","Hôm nay","Skinning","Game Design","3D Rigging","+2"
"https://www.vietnamworks.com/tech-support-engineer--2039289-jv?source=searchResults&searchType=2&placement=2039289&sortBy=date&qs=0","https://cdn.vietnamworks.com/images?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F85%2F11156218.png&w=3840&q=75","Tech Support Engineer","Công Ty TNHH Salto Systems","https://www.vietnamworks.com/nha-tuyen-dung/cong-ty-tnhh-salto-systems-c314327","Thương lượng","Hồ Chí Minh","Hôm nay","Mechanical","Technical Support","Security Systems","+2"
"https://www.vietnamworks.com/consultant-talent-learning-and-culture-2037913-jv?source=searchResults&searchType=2&placement=2037913&sortBy=date&qs=0","https://cdn.vietnamworks.com/images?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2Fd9%2F11293186.png&w=3840&q=75","Consultant, Talent Learning and Culture","NAB Innovation Centre Vietnam","https://www.vietnamworks.com/nha-tuyen-dung/nab-innovation-centre-vietnam-c316318","Thương lượng","Hồ Chí Minh","Hôm nay","Learning And Development","Culture Development","English Fluency",""
"https://www.vietnamworks.com/it-auditor-techcom-insurance-2037132-jv?source=searchResults&searchType=2&placement=2037132&sortBy=date&qs=0","https://cdn.vietnamworks.com/images?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F7e%2F11125544.png&w=3840&q=75","IT Auditor (Techcom Insurance)","Techcombank","https://www.vietnamworks.com/nha-tuyen-dung/techcombank-c36019","Thương lượng","Hà Nội","Hôm nay","Cybersecurity","CISA","Quản Trị Rủi Ro Thông Tin","+2"
"https://www.vietnamworks.com/senior-sap-consultant-fico-mm-abap-fiori-car-2037736-jv?source=searchResults&searchType=2&placement=2037736&sortBy=date&qs=0","https://cdn.vietnamworks.com/images?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F51%2F11443252.png&w=3840&q=75","Senior SAP Consultant (FICO, MM, ABAP, Fiori, CAR)","TDI APJ VIETNAM CO., LTD.","https://www.vietnamworks.com/nha-tuyen-dung/tdi-apj-vietnam-co-ltd--c142324","Thương lượng","Hồ Chí Minh","Hôm nay","SAP FICO","SAP MM","SAP ABAP","+2"
"https://www.vietnamworks.com/ad-application-deveroper-chuyen-vien-phat-trien-ung-dung-2039279-jv?source=searchResults&searchType=2&placement=2039279&sortBy=date&qs=0","https://cdn.vietnamworks.com/images?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2Fbb%2F11125895.png&w=3840&q=75","AD Application Deveroper ( Chuyên Viên Phát Triển Ứng Dụng)","Fubon Life Insurance (Vietnam) Co., Ltd","https://www.vietnamworks.com/nha-tuyen-dung/fubon-life-insurance-vietnam-co-ltd-c93664","Thương lượng","Hà Nội","Hôm nay","Java","Python","MariaDB","+3"
"https://www.vietnamworks.com/data-analyst--2045666-jv?source=searchResults&searchType=2&placement=2045666&sortBy=date&qs=0","https://cdn.vietnamworks.com/images?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F5a%2F10480385.png&w=3840&q=75","Data Analyst","Home Credit Vietnam - Explore Your Dream Team","https://www.vietnamworks.com/nha-tuyen-dung/home-credit-vietnam-explore-your-dream-team-c27341","Thương lượng","Hồ Chí Minh","Hôm nay","SQL","Python","Data Management","+2"
"https://www.vietnamworks.com/automation-engineer-plcdcs-power-plant-2038289-jv?source=searchResults&searchType=2&placement=2038289&sortBy=date&qs=0","https://cdn.vietnamworks.com/images?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2F3c%2F11125455.png&w=3840&q=75","Automation Engineer (PLC/DCS) - Power Plant","Toshiba Software Development (Vietnam) CO., LTD","https://www.vietnamworks.com/nha-tuyen-dung/toshiba-software-development-vietnam-co-ltd-c41831","Thương lượng","Hà Nội","Hôm nay","PLC","DCS","Điện Tự Động Hóa","+2"
"https://www.vietnamworks.com/hn-lien-quan-mobile-senior-marketing-abm-2047567-jv?source=searchResults&searchType=2&placement=2047567&sortBy=date&qs=0","https://cdn.vietnamworks.com/images?url=https%3A%2F%2Fimages.vietnamworks.com%2Fpictureofcompany%2Fa4%2F10963255.png&w=3840&q=75","[HN, Lien Quan Mobile] Senior Marketing (ABM)","Garena Vietnam","https://www.vietnamworks.com/nha-tuyen-dung/garena-vietnam-c140080","Thương lượng","Hà Nội","Hôm nay","IMC Planning","Campaign Management","Project Management","+2"
